claim_id,document_id,section,claim_text,materiality,claim_type,source_ids,location_in_source,evidence_quality,conflicting_evidence,assumption_id,reviewer,review_status,last_verified,notes
CLM-0001,stage-1-report,bristol-governance,"The September 2024 Bristol decision approved Stage One Development and OBC work, not WPL implementation.",high,governance,"SRC-BCC-0004;SRC-BCC-0022","SRC-BCC-0004 around decision text; SRC-BCC-0022 lines 483-575",high,None,ASM-0004,Bristol Governance Agent,verified_simulation,2026-06-25,"Keep distinction between Stage 1 implementation/procurement and WPL delivery."
CLM-0002,stage-1-report,bristol-governance,"October 2025 and March 2026 WPL items were update/information items and do not evidence approval of implementation consultation FBC or preferred scheme.",high,governance,"SRC-BCC-0023;SRC-BCC-0024;SRC-BCC-0025;SRC-BCC-0026","SRC-BCC-0023 line 228; SRC-BCC-0024 line 549; SRC-BCC-0025 line 150; SRC-BCC-0026 line 428",high,None,ASM-0004,Bristol Governance Addendum Agent,verified_simulation,2026-06-25,"May 2025 decision record remains unresolved."
CLM-0003,statutory-route-note,statutory-route,"A Bristol initial WPL working assumption should be an initial Transport Act 2000 licensing scheme order requiring Secretary of State confirmation before implementation.",high,legal,"SRC-LEG-0003;SRC-LEG-0011","SRC-LEG-0003 lines 118-129; SRC-LEG-0011 note lines 222-224",high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-25,"Subject to competent authority and WECA/MCA role verification."
CLM-0004,statutory-route-note,statutory-route,"The 2009 Regulations RPI confirmation exemption is narrow and does not exempt an initial Bristol WPL order.",high,legal,SRC-LEG-0011,"SRC-LEG-0011 lines 89-93 and 222-224",high,None,ASM-0002,Legal Review Agent,verified_simulation,2026-06-25,"Use whole-instrument source rather than table-of-contents source."
CLM-0005,stage-1-report,weca-role,"Current acquired WECA/MCA sources support regional strategic context and possible conditional funding or assurance context only; they do not evidence formal WECA/MCA approval support objection consent sponsorship funding decision transferred/concurrent WPL function or no-role conclusion for Bristol WPL.",high,governance,"SRC-WECA-0001;SRC-WECA-0003;SRC-WECA-0004;SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023;SRC-BCC-0004;SRC-BCC-0014","SRC-WECA-0001 lines 210-222 3989-3992 and 7923-7939; SRC-WECA-0003 lines 595-609; SRC-WECA-0004 lines 3119-3122; SRC-WECA-0006 lines 117-136 373-391 and 1983-1986; SRC-WECA-0007 lines 116-120 718-724 910-930 966-976 and 1042-1046; SRC-WECA-0011 lines 69-75; SRC-WECA-0012 lines 188-212 237-246 and 2334-2340; SRC-LEG-0014 lines 649-665; SRC-LEG-0022 lines 80-85; SRC-LEG-0023 lines 80-85; SRC-BCC-0004 lines 204-211; SRC-BCC-0014 lines 253-260",high,None,ASM-0012,WECA Governance Agent,verified_simulation,2026-06-26,"Current-law WECA/MCA role remains P0; direct source anchors added in Stage 2E."
CLM-0006,stage-1-report,net-proceeds,"Schedule 12 requires net proceeds controls including accounts and an opening ten-year general plan plus opening five-year detailed programme.",high,legal_financial,"SRC-LEG-0004;SRC-LEG-0012","SRC-LEG-0004 lines 274-299 and 316-343; SRC-LEG-0012 whole instrument",high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-25,"Finance/accounting procedure not yet produced."
CLM-0007,stage-1-report,operations,"The 2009 Regulations require operational controls for PCNs representations appeal charge certificates recovery and notice service.",high,operations,SRC-LEG-0011,"SRC-LEG-0011 lines 120-190 and 227-230",high,None,ASM-0006,Spatial Data and Operations Agent,verified_simulation,2026-06-25,"Schemas added but operational procedures remain open."
CLM-0008,stage-1-report,comparators,"Nottingham and comparator evidence may inform operating precedent and transferability questions but does not support direct Bristol revenue congestion or mode-share claims.",medium,evidence_transferability,"SRC-NOTT-0001;SRC-NOTT-0002;SRC-ACADEMIC-0002;SRC-TFL-0001;SRC-UK-0003","Synthesis review in review/peer_review/stage-1-comparator-evidence-review.md; direct source-line anchors still required before business-case prose",medium,SRC-ACADEMIC-0001 failed acquisition,ASM-0005,Comparator Evidence Agent,verified_simulation_synthesis,2026-06-25,"Do not use independent congestion-reduction claims until replacement source acquired."
CLM-0009,stage-1-report,appraisal,"The repo has a credible appraisal spine but no operational ASR OAR ASST model cards uncertainty log or appraisal outputs.",high,appraisal,"SRC-DFT-0001;SRC-DFT-0002;SRC-HMT-0001;SRC-HMT-0004;SRC-WECA-0006","Synthesis review in review/analytical_assurance/stage-1-appraisal-tag-assurance-review.md; absence confirmed from repo model folders",medium,None,,Appraisal Guidance Agent,verified_simulation_synthesis,2026-06-25,"Blocks professional OBC/FBC authoring."
CLM-0010,stage-2b-role-map,statutory-route,"For an initial England-only WPL licensing scheme, Secretary of State confirmation is the controlled statutory route; DfT engagement is not confirmation.",high,legal,"SRC-LEG-0003;SRC-LEG-0020;SRC-LEG-0011","SRC-LEG-0003 lines 118-127; SRC-LEG-0020 lines 124-132; SRC-LEG-0011 lines 89-96 and 222-235",high,None,ASM-0001,Legal Review Agent,verified_simulation,2026-06-26,"Does not close Bristol order-maker or submitter route."
